,enhanced_weekday_quantized,hour,enhanced_weekday,outage_total_modified_sma,previous_day,outage_Hydro_sma,previous_hour,previous_week,Outage_SP15_Thermal,CAISO_Load_2DA,Wind_Solar_Total_diff,Weather_SP15_feels_like,Weather_SP15_humidity,FRSCE1_fuel_price,Solar_7DA,load_gen_diff,target0
2022-05-12 00:00:00,1.0,1.0,4.0,7632.930416666666,65.73629,4033.649583333334,73.27522,79.0949,3657.98,21384.09,-277.1399999999999,57.13,41.0,10.54,0.0,18628.17,71.06552
2022-05-12 01:00:00,1.0,2.0,4.0,7617.842083333333,61.87283,4033.0066666666667,71.06552,76.9005,4143.58,20668.92,-93.99000000000024,56.62,43.0,10.54,0.0,18006.989999999998,68.85263
2022-05-12 02:00:00,1.0,3.0,4.0,7602.541249999999,60.40321,4032.4287500000005,68.85263,75.39942,4147.28,20203.41,-164.17999999999984,55.69,49.0,10.54,0.0,17705.66,66.12581
2022-05-12 03:00:00,1.0,4.0,4.0,7587.15625,60.27163,4031.5616666666665,66.12581,74.5522,4147.33,20035.33,-180.57000000000016,54.27,51.0,10.54,0.0,17718.15,67.01
2022-05-12 04:00:00,1.0,5.0,4.0,7569.278333333335,61.61572,4030.725416666666,67.01,77.53313,4141.62,20443.63,-281.3299999999999,54.27,42.0,10.54,0.0,18407.780000000002,71.18674
2022-05-12 05:00:00,1.0,6.0,4.0,7551.098333333334,70.46,4029.919166666667,71.18674,89.08284,3648.07,21656.43,-405.42999999999984,53.6,47.0,10.54,16.95,20026.010000000002,84.72366
2022-05-12 06:00:00,1.0,7.0,4.0,7535.368750000001,76.84418,4032.0016666666666,84.72366,86.11541,3225.41,22695.47,1521.7599999999998,52.75,46.0,10.54,1476.75,19543.29,83.9072
2022-05-12 07:00:00,1.0,8.0,4.0,7515.870416666668,47.62808,4034.9833333333336,83.9072,69.02078,3158.45,22977.24,5418.48,55.18,51.0,10.54,5551.49,14406.580000000002,57.38937
2022-05-12 08:00:00,1.0,9.0,4.0,7495.52625,20.48356,4036.1079166666664,57.38937,43.66852,3166.63,21959.21,2827.3999999999996,60.33,41.0,10.54,7969.46,10561.15,29.58204
2022-05-12 09:00:00,1.0,10.0,4.0,7470.595,9.06,4036.9825,29.58204,32.53005,3188.42,20475.24,463.22000000000116,64.9,33.0,10.54,8805.84,8613.960000000001,21.89021
2022-05-12 10:00:00,1.0,11.0,4.0,7445.895833333333,3.17371,4036.9675,21.89021,27.75543,3202.96,19452.08,33.05999999999949,69.12,30.0,10.54,9259.1,7557.740000000002,18.72224
2022-05-12 11:00:00,1.0,12.0,4.0,7421.752916666667,3.37095,4036.219166666667,18.72224,27.70307,3226.68,18767.01,62.289999999999054,73.49,27.0,10.54,9399.31,6810.379999999999,18.80705
2022-05-12 12:00:00,1.0,13.0,4.0,7399.599583333334,5.15005,4035.471666666667,18.80705,29.94421,3215.02,18422.28,128.04000000000087,75.74,26.0,10.54,9361.76,6337.609999999999,19.96626
2022-05-12 13:00:00,1.0,14.0,4.0,7420.864166666667,2.21194,4034.7258333333334,19.96626,35.72496,3232.07,18562.96,64.1299999999992,76.68,25.0,10.54,9235.94,6414.16,19.97271
2022-05-12 14:00:00,1.0,15.0,4.0,7443.485416666666,3.28,4033.9808333333335,19.97271,37.83342,3240.15,18975.62,344.0600000000013,77.18,25.0,10.54,9015.47,6482.759999999998,24.05139
2022-05-12 15:00:00,1.0,16.0,4.0,7466.455416666667,6.86236,4032.9408333333336,24.05139,53.45908,3246.06,19787.49,177.67000000000007,76.6,24.0,10.54,8540.52,7116.960000000001,27.13271
2022-05-12 16:00:00,1.0,17.0,4.0,7486.91375,9.32319,4033.189166666667,27.13271,62.67442,3246.85,21032.75,19.73999999999978,76.23,23.0,10.54,7752.57,8342.48,30.35251
2022-05-12 17:00:00,1.0,18.0,4.0,7467.667083333334,22.24883,4030.060416666667,30.35251,73.67522,3235.08,22668.26,-756.4099999999999,76.6,26.0,10.54,6413.61,10734.399999999998,39.81311
2022-05-12 18:00:00,1.0,19.0,4.0,7445.104583333333,68.84783,4026.05125,39.81311,102.0987,3223.83,24311.97,-4421.7300000000005,74.75,29.0,10.54,2870.72,16799.84,76.60361
2022-05-12 19:00:00,1.0,20.0,4.0,7427.895833333333,92.92425,4023.27875,76.60361,132.91249,3211.56,25283.7,-4206.1,72.07,30.0,10.54,249.06,21977.670000000002,99.35
2022-05-12 20:00:00,1.0,21.0,4.0,7409.972083333333,104.75639,4020.5320833333335,99.35,119.80751,3188.89,26062.15,-442.8000000000002,67.71,35.0,10.54,0.03,23198.920000000002,112.12
2022-05-12 21:00:00,1.0,22.0,4.0,7415.033749999999,88.59157,4017.817916666667,112.12,108.79875,3204.64,25416.13,-33.42000000000007,65.14,33.0,10.54,0.0,22586.32,95.65775
2022-05-12 22:00:00,1.0,23.0,4.0,7420.628333333333,79.54895,4015.79125,95.65775,89.37689,3194.47,23933.09,-11.079999999999927,63.95,40.0,10.54,0.0,21114.36,86.65831
2022-05-12 23:00:00,1.0,24.0,4.0,7427.125416666667,73.27522,4014.8795833333334,86.65831,78.62409,3185.16,22461.75,-82.05000000000018,64.11,36.0,10.54,0.0,19725.07,80.01999
2022-05-13 00:00:00,1.0,1.0,5.0,7449.094166666666,73.62875,4018.00375,80.01999,73.62875,3742.52,21635.13,20.470000000000255,64.38,37.0,10.39,0.0,18877.98,74.50975
2022-05-13 01:00:00,1.0,2.0,5.0,7472.250416666667,73.62839,4021.09375,74.50975,73.62839,4272.27,20803.35,-138.55999999999995,64.51,35.0,10.39,0.0,18184.76,72.84412
2022-05-13 02:00:00,1.0,3.0,5.0,7485.009999999999,70.61631,4024.15625,72.84412,70.61631,4312.71,20298.06,-93.32000000000016,63.28,37.0,10.39,0.0,17772.79,67.89
2022-05-13 03:00:00,1.0,4.0,5.0,7483.189166666667,70.4865,4027.4629166666673,67.89,70.4865,4225.86,20027.18,-95.90999999999985,62.65,39.0,10.39,0.0,17597.82,66.07514
2022-05-13 04:00:00,1.0,5.0,5.0,7479.768749999999,77.04701,4030.7370833333334,66.07514,77.04701,4198.16,20368.35,-187.0,62.22,37.0,10.39,0.0,18125.989999999998,70.48896
2022-05-13 05:00:00,1.0,6.0,5.0,7475.8966666666665,83.33607,4033.4341666666664,70.48896,83.33607,3708.57,21258.6,-269.0400000000002,61.47,38.0,10.39,21.53,19285.28,79.22004
2022-05-13 06:00:00,1.0,7.0,5.0,7469.577916666666,87.6745,4033.3558333333335,79.22004,87.6745,3280.55,22229.91,1542.82,60.84,35.0,10.39,1579.81,18713.77,77.35883
2022-05-13 07:00:00,1.0,8.0,5.0,7467.888333333332,62.7,4032.8720833333336,77.35883,62.7,3291.24,22528.32,5466.950000000001,62.62,50.0,10.39,5671.27,13545.23,51.27379
